"time","timeDate","close","high","low","open","volumefrom","volumeto"
1483488000000,"2017-01-03",0.0001116,0.000134,0.000107,0.000134,40982.7,5.1
1483574400000,"2017-01-04",0.0001447,0.000145,0.0001107,0.0001116,42786.51,5.32
1483660800000,"2017-01-05",0.0001573,0.00016,0.00013,0.0001447,61057.44,8.92
1483747200000,"2017-01-06",0.0001403,0.0001729,0.0001403,0.0001573,22586.99,3.51
1483833600000,"2017-01-07",0.0001456,0.0001626,0.0001426,0.0001403,44133.93,6.47
1483920000000,"2017-01-08",0.0001351,0.0001625,0.000135,0.0001456,61608.42,8.76
1484006400000,"2017-01-09",0.0001392,0.0001518,0.0001371,0.0001351,22979.09,3.27
1484092800000,"2017-01-10",0.0001443,0.0001552,0.0001202,0.0001392,81253.48,11.17
1484179200000,"2017-01-11",0.000157,0.0001664,0.0001441,0.0001443,35751.64,5.62
1484265600000,"2017-01-12",0.0001597,0.0001597,0.0001489,0.000157,8516.02,1.3
1484352000000,"2017-01-13",0.0001529,0.000158,0.000144,0.0001597,55982.72,8.2
1484438400000,"2017-01-14",0.0001519,0.0001628,0.0001432,0.0001529,28845.17,4.31
1484524800000,"2017-01-15",0.0001435,0.0001521,0.0001432,0.0001519,36888.4,5.39
1484611200000,"2017-01-16",0.000128,0.0001595,0.000128,0.0001435,41352.77,5.62
1484697600000,"2017-01-17",0.0001363,0.0001428,0.0001298,0.000128,9309.57,1.22
1484784000000,"2017-01-18",0.0001331,0.000142,0.0001305,0.0001363,42566.02,5.72
1484870400000,"2017-01-19",0.0001458,0.0001458,0.0001272,0.0001331,77812.38,10.13
1484956800000,"2017-01-20",0.0001313,0.0001458,0.000125,0.0001458,122894.87,15.78
1485043200000,"2017-01-21",0.000125,0.0001313,0.000121,0.0001313,43780.02,5.4
1485129600000,"2017-01-22",0.00013,0.000143,0.000122,0.000125,48967.77,6.66
1485216000000,"2017-01-23",0.0001348,0.0001426,0.0001231,0.00013,51505.18,6.77
1485302400000,"2017-01-24",0.0001384,0.000145,0.000128,0.0001348,51764.25,6.88
1485388800000,"2017-01-25",0.0001445,0.000155,0.0001362,0.0001384,34100.57,4.95
1485475200000,"2017-01-26",0.0001432,0.000149,0.0001392,0.0001445,29824.26,4.23
1485561600000,"2017-01-27",0.000146,0.0001522,0.0001392,0.0001432,42180.16,6.1
1485648000000,"2017-01-28",0.000151,0.000155,0.000142,0.000146,38968.36,5.79
1485734400000,"2017-01-29",0.0001648,0.000165,0.000148,0.000151,48624.29,7.63
1485820800000,"2017-01-30",0.000151,0.0001695,0.00015,0.0001648,83612.67,13.1
1485907200000,"2017-01-31",0.0001488,0.0001535,0.000143,0.000151,29786.45,4.42
1485993600000,"2017-02-01",0.0001454,0.0001467,0.0001362,0.0001488,20100.75,2.82
1486080000000,"2017-02-02",0.0001306,0.0001454,0.0001306,0.0001454,46245.42,6.29
1486166400000,"2017-02-03",0.0001399,0.0001445,0.0001307,0.0001306,63435.93,8.82
1486252800000,"2017-02-04",0.0001281,0.0001399,0.0001255,0.0001399,24771.39,3.25
1486339200000,"2017-02-05",0.0001297,0.0001341,0.0001193,0.0001281,63001.53,7.95
1486425600000,"2017-02-06",0.000126,0.0001297,0.0001212,0.0001297,37446.42,4.74
1486512000000,"2017-02-07",0.00012,0.000126,0.0001178,0.000126,37911.66,4.55
1486598400000,"2017-02-08",0.0001273,0.000135,0.0001151,0.00012,72919.67,8.98
1486684800000,"2017-02-09",0.0001274,0.0001341,0.0001202,0.0001273,17627.13,2.22
